Sample_ID,Output_Name,Input_XMEAS(1),Gain_XMEAS(1),Input_XMEAS(2),Gain_XMEAS(2),Input_XMEAS(3),Gain_XMEAS(3),Input_XMEAS(5),Gain_XMEAS(5)
0,XMEAS(10),0.2410881122166823,-0.013815425185245624,0.568721725311984,0.005485998725698809,0.49069378594325647,-0.010809663077441453,0.5217938222180551,0.003677016801344874
1,XMEAS(10),0.24111479591374474,-0.028286185955406554,0.5658371707472302,-0.003967084500065587,0.4893927422856394,-0.012719853085415775,0.5194702978094555,0.0012949125446094932
2,XMEAS(10),0.2415536971082087,-0.008146167815731237,0.5653981606745244,-0.01919599089811423,0.4889870450968592,-0.016872867818864868,0.5181775323468456,0.003962713276854143
3,XMEAS(10),0.24226658519061697,-0.01910438933047976,0.5661912359725124,-0.0004443656456403418,0.4893982959734528,-0.011107290682179655,0.5180364653971996,-0.015075639145520075
4,XMEAS(10),0.2431910004133024,-0.013615402577436854,0.5684653145243982,-0.009995345275208074,0.49006104093755737,-0.008861500848528391,0.5176272406056224,-0.019212145809514455
5,XMEAS(10),0.24424583537904063,-0.022571804775360735,0.5718028390615397,0.002143039038048844,0.49075735885650235,8.219937845960353e-06,0.5171500796587357,0.008356449912515801
6,XMEAS(10),0.24533679101309722,-0.0032213657256396624,0.5757928584600797,-0.01212213486895047,0.4915693037393551,-0.013126683983350165,0.517562519144166,0.015510673306963806
7,XMEAS(10),0.24661965417228304,-0.02541854794951864,0.5800513515325713,0.017123197423211462,0.4924188486396417,-0.005431731437803613,0.5172352363032201,0.008586512456278507
8,XMEAS(10),0.24802835692070266,-0.017026877774063646,0.5830256141284824,0.03178823626333482,0.4927387247085525,-0.022315654458660367,0.5164609111734108,0.007240050373880686
9,XMEAS(10),0.24937525174305183,-0.007712865951042508,0.5855579043608085,0.006497705349158564,0.49271929368662143,0.006361933721450946,0.5151243335189204,0.001093447047154046
10,XMEAS(10),0.25042401258606006,0.0009429327710281886,0.5865293263537739,-0.01658487224555458,0.49220725094280765,-0.0003526943991303648,0.5154780895322496,-0.015202626599757008
11,XMEAS(10),0.2509711473573727,-0.02349312187521326,0.5865883585999282,0.022523189981905774,0.4913888641739007,0.0001225261511407016,0.5163841662034547,0.011099014538983445
12,XMEAS(10),0.2509440839230929,-0.021745451884444815,0.5861373342824906,0.003264890996542298,0.4903133208004805,-0.008265926438590136,0.516857728298251,0.005393752272698291
